"fips","SCC","Pollutant","Emissions","type","year","county"
"62","04013","2230060250","PM25-PRI",0.034031,"ON-ROAD",2008,"Maricopa County (Phoenix)"
"63","04013","220108011B","PM25-PRI",0.03,"ON-ROAD",2002,"Maricopa County (Phoenix)"
"64","04013","220108019B","PM25-PRI",0.0027799523,"ON-ROAD",2002,"Maricopa County (Phoenix)"
"65","04013","223007117T","PM25-PRI",0.01,"ON-ROAD",2002,"Maricopa County (Phoenix)"
"66","04013","223007115B","PM25-PRI",0.01,"ON-ROAD",2002,"Maricopa County (Phoenix)"
"67","04013","2230074210","PM25-PRI",0.211942,"ON-ROAD",2008,"Maricopa County (Phoenix)"
"68","04013","220108031T","PM25-PRI",0.01,"ON-ROAD",2002,"Maricopa County (Phoenix)"
"69","04013","223007113T","PM25-PRI",0.01,"ON-ROAD",2002,"Maricopa County (Phoenix)"
"70","04013","223007219B","PM25-PRI",0.0038316214,"ON-ROAD",2002,"Maricopa County (Phoenix)"
"71","04013","223007417T","PM25-PRI",0.37,"ON-ROAD",2005,"Maricopa County (Phoenix)"
"72","04013","2230073210","PM25-PRI",0.0656941,"ON-ROAD",2008,"Maricopa County (Phoenix)"
"73","04013","2201020250","PM25-PRI",11.7473,"ON-ROAD",2008,"Maricopa County (Phoenix)"
"74","04013","2230074310","PM25-PRI",0.68157,"ON-ROAD",2008,"Maricopa County (Phoenix)"
"75","04013","223007211B","PM25-PRI",0.06,"ON-ROAD",1999,"Maricopa County (Phoenix)"
"76","04013","223007327X","PM25-PRI",31.68,"ON-ROAD",2005,"Maricopa County (Phoenix)"
"77","04013","220108015X","PM25-PRI",0.02,"ON-ROAD",2002,"Maricopa County (Phoenix)"
"78","04013","223007333X","PM25-PRI",14.2,"ON-ROAD",2005,"Maricopa County (Phoenix)"
"79","04013","223007119T","PM25-PRI",0.0021022986,"ON-ROAD",2002,"Maricopa County (Phoenix)"
"80","04013","220108023B","PM25-PRI",0.1,"ON-ROAD",2002,"Maricopa County (Phoenix)"
"81","04013","2201080270","PM25-PRI",0.230496,"ON-ROAD",2008,"Maricopa County (Phoenix)"
"82","04013","2201020110","PM25-PRI",1.89362,"ON-ROAD",2008,"Maricopa County (Phoenix)"
"83","04013","223007331X","PM25-PRI",7.33,"ON-ROAD",2005,"Maricopa County (Phoenix)"
"84","04013","220108027B","PM25-PRI",0.19,"ON-ROAD",2002,"Maricopa County (Phoenix)"
"85","04013","2230074290","PM25-PRI",3.50346,"ON-ROAD",2008,"Maricopa County (Phoenix)"
"86","04013","223006033T","PM25-PRI",0.18,"ON-ROAD",2005,"Maricopa County (Phoenix)"
"87","04013","223007111B","PM25-PRI",0.06,"ON-ROAD",2002,"Maricopa County (Phoenix)"
"88","04013","2230073330","PM25-PRI",9.1505,"ON-ROAD",2008,"Maricopa County (Phoenix)"
"89","04013","2201001290","PM25-PRI",11.6535,"ON-ROAD",2008,"Maricopa County (Phoenix)"
"90","04013","220104033X","PM25-PRI",2.45,"ON-ROAD",2005,"Maricopa County (Phoenix)"
"91","04013","220108013B","PM25-PRI",0.01,"ON-ROAD",2002,"Maricopa County (Phoenix)"
"92","04013","220107015X","PM25-PRI",3.04,"ON-ROAD",1999,"Maricopa County (Phoenix)"
"93","04013","223007429T","PM25-PRI",2.29,"ON-ROAD",2005,"Maricopa County (Phoenix)"
"94","04013","223007113B","PM25-PRI",0.03,"ON-ROAD",2002,"Maricopa County (Phoenix)"
"95","04013","220108025B","PM25-PRI",0.15,"ON-ROAD",2002,"Maricopa County (Phoenix)"
"96","04013","223007427T","PM25-PRI",4.39,"ON-ROAD",2005,"Maricopa County (Phoenix)"
"97","04013","2201080310","PM25-PRI",0.00941901,"ON-ROAD",2008,"Maricopa County (Phoenix)"
"98","04013","223007113X","PM25-PRI",1.05,"ON-ROAD",2002,"Maricopa County (Phoenix)"
"99","04013","2230074170","PM25-PRI",5.77835,"ON-ROAD",2008,"Maricopa County (Phoenix)"
"100","04013","223007131B","PM25-PRI",0.04,"ON-ROAD",1999,"Maricopa County (Phoenix)"
"101","04013","220107031T","PM25-PRI",0.06,"ON-ROAD",1999,"Maricopa County (Phoenix)"
"102","04013","2230072330","PM25-PRI",0.167813,"ON-ROAD",2008,"Maricopa County (Phoenix)"
"103","04013","223007419B","PM25-PRI",0.02,"ON-ROAD",2005,"Maricopa County (Phoenix)"
"104","04013","223007119X","PM25-PRI",0.16,"ON-ROAD",2002,"Maricopa County (Phoenix)"
"105","04013","2230074250","PM25-PRI",2.72049,"ON-ROAD",2008,"Maricopa County (Phoenix)"
"106","04013","2201001210","PM25-PRI",0.942073,"ON-ROAD",2008,"Maricopa County (Phoenix)"
"107","04013","220107033B","PM25-PRI",0.56,"ON-ROAD",2002,"Maricopa County (Phoenix)"
"108","04013","223007115T","PM25-PRI",0.0063401748,"ON-ROAD",2002,"Maricopa County (Phoenix)"
"109","04013","220104031T","PM25-PRI",0.48,"ON-ROAD",2005,"Maricopa County (Phoenix)"
"110","04013","223000117X","PM25-PRI",0.31,"ON-ROAD",2002,"Maricopa County (Phoenix)"
"111","04013","220107011B","PM25-PRI",0.34,"ON-ROAD",1999,"Maricopa County (Phoenix)"
"112","04013","220108015T","PM25-PRI",0.0015807184,"ON-ROAD",2002,"Maricopa County (Phoenix)"
"113","04013","2201070250","PM25-PRI",1.634,"ON-ROAD",2008,"Maricopa County (Phoenix)"
"114","04013","2201020310","PM25-PRI",1.34701,"ON-ROAD",2008,"Maricopa County (Phoenix)"
"115","04013","223007327T","PM25-PRI",0.45,"ON-ROAD",2005,"Maricopa County (Phoenix)"
"116","04013","2201070290","PM25-PRI",0.514384,"ON-ROAD",2008,"Maricopa County (Phoenix)"
"117","04013","220108023T","PM25-PRI",0.02,"ON-ROAD",2002,"Maricopa County (Phoenix)"
"118","04013","2230073170","PM25-PRI",1.42123,"ON-ROAD",2008,"Maricopa County (Phoenix)"
"119","04013","223007125X","PM25-PRI",8.91,"ON-ROAD",2002,"Maricopa County (Phoenix)"
"120","04013","223007419T","PM25-PRI",0.04,"ON-ROAD",2005,"Maricopa County (Phoenix)"
"121","04013","2201020290","PM25-PRI",10.8052,"ON-ROAD",2008,"Maricopa County (Phoenix)"
"122","04013","2230060230","PM25-PRI",0.0529778,"ON-ROAD",2008,"Maricopa County (Phoenix)"
"123","04013","2230001190","PM25-PRI",0.00290485,"ON-ROAD",2008,"Maricopa County (Phoenix)"
"124","04013","220108025T","PM25-PRI",0.02,"ON-ROAD",2002,"Maricopa County (Phoenix)"
"125","04013","2201020170","PM25-PRI",1.07297,"ON-ROAD",2008,"Maricopa County (Phoenix)"
"126","04013","223007511X","PM25-PRI",5.57,"ON-ROAD",1999,"Maricopa County (Phoenix)"
"127","04013","223007421T","PM25-PRI",0.11,"ON-ROAD",2005,"Maricopa County (Phoenix)"
"128","04013","2201080230","PM25-PRI",0.0220862,"ON-ROAD",2008,"Maricopa County (Phoenix)"
"129","04013","220104029T","PM25-PRI",1.1,"ON-ROAD",2005,"Maricopa County (Phoenix)"
"130","04013","223007431T","PM25-PRI",1.01,"ON-ROAD",2005,"Maricopa County (Phoenix)"
"131","04013","223007111T","PM25-PRI",0.02,"ON-ROAD",2002,"Maricopa County (Phoenix)"
"132","04013","220107023T","PM25-PRI",0.26,"ON-ROAD",1999,"Maricopa County (Phoenix)"
"133","04013","2201001310","PM25-PRI",3.84979,"ON-ROAD",2008,"Maricopa County (Phoenix)"
"134","04013","223007429X","PM25-PRI",67.67,"ON-ROAD",2005,"Maricopa County (Phoenix)"
"135","04013","223007425B","PM25-PRI",2.21,"ON-ROAD",2005,"Maricopa County (Phoenix)"
"136","04013","2230073210","PM25-PRI",1.47027,"ON-ROAD",2008,"Maricopa County (Phoenix)"
"137","04013","2201020170","PM25-PRI",0.89476,"ON-ROAD",2008,"Maricopa County (Phoenix)"
"138","04013","2201001330","PM25-PRI",2.81154,"ON-ROAD",2008,"Maricopa County (Phoenix)"
"139","04013","223007427X","PM25-PRI",129.3,"ON-ROAD",2005,"Maricopa County (Phoenix)"
"140","04013","223006025B","PM25-PRI",0.4,"ON-ROAD",1999,"Maricopa County (Phoenix)"
"141","04013","2201020310","PM25-PRI",3.0099,"ON-ROAD",2008,"Maricopa County (Phoenix)"
"142","04013","2230060250","PM25-PRI",0.91859,"ON-ROAD",2008,"Maricopa County (Phoenix)"
"143","04013","223007515B","PM25-PRI",0.01,"ON-ROAD",1999,"Maricopa County (Phoenix)"
"144","04013","220102027B","PM25-PRI",14.12,"ON-ROAD",2005,"Maricopa County (Phoenix)"
